YEAR,MONTH,NAME,Disaster Susceptibility Index
2025,1,0.0625,0.7585016557267519
2025,1,0.125,0.7425761229050273
2025,1,0.1875,0.7641403338746031
2025,1,0.25,0.7335393761418165
2025,1,0.3125,0.8314883531440584
2025,1,0.375,0.796826768736249
2025,1,0.4375,0.7465152230307733
2025,1,0.5,0.7610046371061572
2025,1,0.5625,0.8323940506577269
2025,1,0.625,0.833899784253029
2025,1,0.6875,0.8370358282789807
2025,1,0.75,0.8342917254021689
2025,1,0.8125,0.7310684690081669
2025,1,0.875,0.7494933339947527
2025,1,0.9375,0.7608112775166171
2025,1,1.0,0.8301545538752202
2025,2,0.0625,0.5886406295116866
2025,2,0.125,0.5885491487809906
2025,2,0.1875,0.6143986523650065
2025,2,0.25,0.5775120839351049
2025,2,0.3125,0.6977319050117948
2025,2,0.375,0.6553919402914264
2025,2,0.4375,0.5795691433054546
2025,2,0.5,0.5925614173414384
2025,2,0.5625,0.7008172237238455
2025,2,0.625,0.7100182983805207
2025,2,0.6875,0.6855973693844337
2025,2,0.75,0.7078889202896252
2025,2,0.8125,0.5787427798058089
2025,2,0.875,0.5739538755984644
2025,2,0.9375,0.5923749707212786
2025,2,1.0,0.7008779726936578
2025,3,0.0625,0.5870793661379641
2025,3,0.125,0.569850884650559
2025,3,0.1875,0.587565271483008
2025,3,0.25,0.5822347111176536
2025,3,0.3125,0.655178046456122
2025,3,0.375,0.6318628415963832
2025,3,0.4375,0.5789264918584532
2025,3,0.5,0.5878675824682831
2025,3,0.5625,0.6614117107902762
2025,3,0.625,0.6454662210985637
2025,3,0.6875,0.6450832504982855
2025,3,0.75,0.6444854476072468
2025,3,0.8125,0.5505324803558154
2025,3,0.875,0.5773936565616619
2025,3,0.9375,0.5876603788922932
2025,3,1.0,0.6591833249367609
2025,4,0.0625,0.5602892318914667
2025,4,0.125,0.5064916716065465
2025,4,0.1875,0.5628745846581792
2025,4,0.25,0.5121059507428016
2025,4,0.3125,0.6362400241558246
2025,4,0.375,0.5921254331448041
2025,4,0.4375,0.5580517425083886
2025,4,0.5,0.560925828870567
2025,4,0.5625,0.6267981707820273
2025,4,0.625,0.6091062728069354
2025,4,0.6875,0.5996445636123858
2025,4,0.75,0.6444586249891724
2025,4,0.8125,0.4990896235227277
2025,4,0.875,0.5521960940815334
2025,4,0.9375,0.560718625294577
2025,4,1.0,0.6270852951699042
2025,5,0.0625,0.5438123388768725
2025,5,0.125,0.5447944370275696
2025,5,0.1875,0.4469609732609603
2025,5,0.25,0.5516550746636673
2025,5,0.3125,0.4711180757172962
2025,5,0.375,0.5547301452408729
2025,5,0.4375,0.5977894151176134
2025,5,0.5,0.5455449399890406
2025,5,0.5625,0.4767324516196624
2025,5,0.625,0.45465893779533906
2025,5,0.6875,0.47476617836225776
2025,5,0.75,0.47148798600459085
2025,5,0.8125,0.5656569688548624
2025,5,0.875,0.5986353354849953
2025,5,0.9375,0.5452212447656923
2025,5,1.0,0.5580372150840774
2025,6,0.0625,0.4354684198962172
2025,6,0.125,0.39672176674666926
2025,6,0.1875,0.4325927629825959
2025,6,0.25,0.41347943187536873
2025,6,0.3125,0.3885132091127612
2025,6,0.375,0.43363307230637427
2025,6,0.4375,0.44614093551871525
2025,6,0.5,0.43696214704274017
2025,6,0.5625,0.4045354118583239
2025,6,0.625,0.39085380238834616
2025,6,0.6875,0.42386160307123216
2025,6,0.75,0.38603508313372786
2025,6,0.8125,0.404481187686302
2025,6,0.875,0.44574321538712075
2025,6,0.9375,0.43663845181939187
2025,6,1.0,0.4796783833101465
2025,7,0.0625,0.48339943104323396
2025,7,0.125,0.42084277937432935
