NAME,YEAR,MONTH,AVRG ELEVATION,MIN ELEVATION,MAX ELEVATION,PRECIPITATION RATE,SOIL MOISTURE,WIND SPEED,SURFACE TEMPERATURE,DEEP SOIL TEMPERATURE,Flood Risk,Landslide Risk,Storm Risk,Disaster Susceptibility Index
0.0625,2025,1,0.066565809,0.041860465,0.404085258,0.5986731385,0.7200398247600003,0.6575622044899997,0.4162728060100001,0.4946991441399998,0.365570060726,0.5078668796060001,0.3527156812439999,0.7585016557267519
0.0625,2025,2,0.066565809,0.041860465,0.404085258,0.37164926027,0.6745555605499995,0.6923999162699999,0.5493987881699998,0.4832762058200001,0.2344900337389998,0.4238298492099999,0.271918406055,0.5886406295116866
0.0625,2025,3,0.066565809,0.041860465,0.404085258,0.32390385155,0.7350511805999997,0.6603905875300004,0.6047043102800003,0.6511020915799999,0.2224794518439998,0.4612200897609999,0.233729947521,0.5870793661379641
0.0625,2025,4,0.066565809,0.041860465,0.404085258,0.3275239270499998,0.7548545664399995,0.38731316587,0.5971386552100002,0.7202326221400002,0.2313816288099997,0.4820732342749998,0.1270981325209998,0.5602892318914667
0.0625,2025,5,0.066565809,0.041860465,0.404085258,0.30214748912,0.8325204545800001,0.15343416171,0.4913140268400004,0.6001011113700002,0.2656957457539999,0.473733767184,0.0470985251519999,0.5438123388768725
0.0625,2025,6,0.066565809,0.041860465,0.404085258,0.11384532855,0.8271763915700006,0.15423112067,0.4469272141200003,0.5230517342200001,0.1976490251670001,0.4002300246800001,-0.000195976891,0.4354684198962172
0.0625,2025,7,0.066565809,0.041860465,0.404085258,0.3206876000600001,0.6412261665300001,0.16896494204,0.4481764473100002,0.50777411862,0.224351019621,0.403442115501,0.0675003864719999,0.4833994310432339
0.0625,2025,8,0.066565809,0.041860465,0.404085258,0.24521616845,0.6385922251899998,0.12244590464,0.4505940684799999,0.5102940820099998,0.1928887403409999,0.3805144962939999,0.025767817795,0.4315323920601713
0.0625,2025,9,0.066565809,0.041860465,0.404085258,0.24725998466,0.6351426877499997,0.0934297544899999,0.4442744530400002,0.5058861561199999,0.1939353286809998,0.3792111947469998,0.0160384256859999,0.4273195288611945
0.0625,2025,10,0.066565809,0.041860465,0.404085258,0.27685698462,0.6570932049299998,0.1478592997,0.4206777709399999,0.4954517518200002,0.2170786202389999,0.3925885690289999,0.051408680178,0.4653577013854254
0.0625,2025,11,0.066565809,0.041860465,0.404085258,0.5160644508699999,0.8428698666900002,0.38680421242,0.39414990794,0.4616170103999997,0.373800177867,0.513316859148,0.2240544577409999,0.7127308677062361
0.0625,2025,12,0.066565809,0.041860465,0.404085258,0.43695098206,0.8053046600100007,0.48741673303,0.3690050675399999,0.4336167681800001,0.3359141964190002,0.4727132080570002,0.245594393422,0.6728400857041494
0.0625,2026,1,0.066565809,0.041860465,0.404085258,0.4344314919799998,0.80570186435,0.1867346173099999,0.36546696029,0.4118102014899998,0.3357331831389999,0.4677152089969999,0.1252733215599999,0.6188583899175832
0.0625,2026,2,0.066565809,0.041860465,0.404085258,0.27391338024,0.78524439213,0.20483277817,0.5231884228300003,0.4307313500999995,0.2338444042689998,0.4172067635309998,0.0528128598739999,0.4916188120720179
0.0625,2026,3,0.066565809,0.041860465,0.404085258,0.20332487685,0.7595024520900003,0.1625899433499999,0.6079932432200001,0.6180618122799997,0.180925456823,0.425773722938,-0.002221789149,0.4390288442568492
0.0625,2026,4,0.066565809,0.041860465,0.404085258,0.2816656278699998,0.7383339299400002,0.1519821553999999,0.5871438655900001,0.6925614873699999,0.210081076112,0.4578253266169999,0.0212071965029998,0.4871227234739031
0.0625,2026,5,0.066565809,0.041860465,0.404085258,0.13742669115,0.84804034959,0.15267743192,0.4920930642300002,0.6032958112700002,0.2043075875909999,0.429612436276,-0.002776213633,0.4563188400239394
0.0625,2026,6,0.066565809,0.041860465,0.404085258,0.0960551911599999,0.6941401791500001,0.1706926229599999,0.4459076584399999,0.5215841878600002,0.150826017621,0.3546886104650001,0.0012554939439999,0.3783070399487675
0.0625,2026,7,0.066565809,0.041860465,0.404085258,0.4623990335700001,0.62511923203,0.14842813608,0.4513398267000002,0.50713870321,0.275570836797,0.440996382122,0.1011664182629999,0.5534846173807468
0.0625,2026,8,0.066565809,0.041860465,0.404085258,0.43917049072,0.7127706198700001,0.07822851259,0.4447772557400001,0.5063119692299999,0.293887350201,0.460157888823,0.0674305202039999,0.5626293492568439
0.0625,2026,9,0.066565809,0.041860465,0.404085258,0.4576641924199998,0.7123393382599998,0.0899991176599999,0.4573895943199999,0.4993345155200001,0.2986329786819999,0.4641811241079999,0.0751644050259999,0.571399680870849
0.0625,2026,10,0.066565809,0.041860465,0.404085258,0.5300228327999998,0.6775568221599998,0.3724696338,0.4574917852200002,0.4938015882100003,0.3171212418239998,0.47434737593,0.2098397654159998,0.6464668121027617
0.0625,2026,11,0.066565809,0.041860465,0.404085258,0.4893957267899999,0.8360742933800002,0.4902958087399999,0.4194979536000002,0.4779363592699999,0.35602440711,0.5065414397049999,0.2523808699129999,0.7090729148828527
0.0625,2026,12,0.066565809,0.041860465,0.404085258,0.3832734329599999,0.8182145719500004,0.4942247062899998,0.3904864992000001,0.4477111167699998,0.314019864029,0.463301786627,0.2279180316639999,0.6454720865301056
0.0625,2027,1,0.066565809,0.041860465,0.404085258,0.3931636891800001,0.8038253472999998,0.21694813978,0.37314984921,0.4329700081199999,0.31712652912,0.4590038743679999,0.123441811924,0.6007493562654733
